DSSTox_RID	DSSTox_CID	DSSTox_Generic_SID	DSSTox_FileID	STRUCTURE_Formula	STRUCTURE_MolecularWeight	STRUCTURE_ChemicalType	STRUCTURE_TestedForm_DefinedOrganic	STRUCTURE_Shown	TestSubstance_ChemicalName	TestSubstance_CASRN	TestSubstance_Description	ChemicalNote	STRUCTURE_ChemicalName_IUPAC	STRUCTURE_SMILES	STRUCTURE_Parent_SMILES	STRUCTURE_InChI	STRUCTURE_InChIKey	StudyType	Endpoint	Species	ChemicalReplicateCount	ChemClass_MRDD_grouping	TherapeuticCategory	Dose_MRDD_mg	Dose_MRDD_mmol	LOGINV_MRDD_mmol	ActivityScore_FDAMDD	ActivityCategory_MRDD_mmol	ActivityCategory_MCASE_mg	Note_FDAMDD			
22630	2630	22630	91_FDAMDD_v3b	C65H82N2O18S2	1243.47918	defined organic	complex 2 benzenesulfonate [2(C6H5O3S)]	tested chemical	Atracurium Besylate	64228-81-5	single chemical compound	ammonium; parent [64228-79-1]	"2,2'-{pentane-1,5-diylbis[oxy(3-oxopropane-3,1-diyl)]}bis[1-{[3,4-bis(methyloxy)phenyl]methyl}-2-methyl-6,7-bis(methyloxy)-1,2,3,4-tetrahydroisoquinolinium] bisbenzenesulfonate"	[O-]S(=O)(=O)c1ccccc1.[O-]S(=O)(=O)c1ccccc1.COc1ccc(cc1OC)CC5c6cc(OC)c(OC)cc6CC[N+]5(C)CCC(=O)OCCCCCOC(=O)CC[N+]3(C)CCc4cc(OC)c(OC)cc4C3Cc2ccc(OC)c(OC)c2	COc1ccc(cc1OC)CC5c6cc(OC)c(OC)cc6CC[N+]5(C)CCC(=O)OCCCCCOC(=O)CC[N+]3(C)CCc4cc(OC)c(OC)cc4C3Cc2ccc(OC)c(OC)c2	"InChI=1/C53H72N2O12.2C6H6O3S/c1-54(22-18-38-32-48(62-7)50(64-9)34-40(38)42(54)28-36-14-16-44(58-3)46(30-36)60-5)24-20-52(56)66-26-12-11-13-27-67-53(57)21-25-55(2)23-19-39-33-49(63-8)51(65-10)35-41(39)43(55)29-37-15-17-45(59-4)47(31-37)61-6;2*7-10(8,9)6-4-2-1-3-5-6/h14-17,30-35,42-43H,11-13,18-29H2,1-10H3;2*1-5H,(H,7,8,9)/q+2;;/p-2/fC53H72N2O12.2C6H5O3S/qm;2*-1"	XXZSQOVSEBAPGS-MHQNKWFZCN	Clinical Reports 	Maximum Recommended Daily Dose	human	1		skeletal muscle relaxant	0.5	0.000402098	3.395668514	49	High-Moderate	High	form of drug administered not known			
22631	113	20113	92_FDAMDD_v3b	C17H23NO3	289.3736	defined organic	parent	tested chemical	Atropine	51-55-8	single chemical compound	stereochem	(3-endo)-8-methyl-8-azabicyclo[3.2.1]oct-3-yl 3-hydroxy-2-phenylpropanoate	O=C(O[C@@H]2C[C@@H](CC3)N(C)[C@H]3C2)C(CO)C1=CC=CC=C1	O=C(O[C@@H]2C[C@@H](CC3)N(C)[C@H]3C2)C(CO)C1=CC=CC=C1	"InChI=1/C17H23NO3/c1-18-13-7-8-14(18)10-15(9-13)21-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14-,16?/m1/s1"	RKUNBYITZUJHSG-UIDSBSESBB	Clinical Reports 	Maximum Recommended Daily Dose	human	1	Atropine	anticholinergic; mydriatic; antispasmodic	0.00133	4.59613E-06	5.337607266	71	High	High	form of drug administered not known			
22632	2632	22632	93_FDAMDD_v3b	C17H23NO4	305.36882	defined organic	parent	tested chemical	Atropine N-oxide	4438-22-6	single chemical compound	stereochem; ammonium	(3-endo)-8-methyl-8-oxido-8-azabicyclo[3.2.1]oct-3-yl 3-hydroxy-2-phenylpropanoate	O=C(O[C@@H]2C[C@@H](CC3)[N@+]([O-])(C)[C@H]3C2)C(CO)C1=CC=CC=C1	O=C(O[C@@H]2C[C@@H](CC3)[N@+]([O-])(C)[C@H]3C2)C(CO)C1=CC=CC=C1	"InChI=1/C17H23NO4/c1-18(21)13-7-8-14(18)10-15(9-13)22-17(20)16(11-19)12-5-3-2-4-6-12/h2-6,13-16,19H,7-11H2,1H3/t13-,14-,15-,16?,18?/m1/s1"	HGWPFSBHDACWNL-WLJMEOEHBL	Clinical Reports 	Maximum Recommended Daily Dose	human	1	Atropine	anticholinergic	0.05	0.000163736	3.785854687	54	High	High	form of drug administered not known			
22633	116	20116	94_FDAMDD_v3b	C8H12N4O5	244.2047	defined organic	parent	tested chemical	"Azacytidine, 5-"	320-67-2	single chemical compound	stereochem	"4-amino-1-beta-D-ribofuranosyl-1,3,5-triazin-2(1H)-one"	N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O	N/C1=N/C(=O)N(/C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O	"InChI=1/C8H12N4O5/c9-7-10-2-12(8(16)11-7)6-5(15)4(14)3(1-13)17-6/h2-6,13-15H,1H2,(H2,9,11,16)/t3-,4-,5-,6-/m1/s1/f/h9H2"	NMUSYJAQQFHJEW-QUSQBIOGDY	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antineoplastic	20.3	0.083126983	1.08025798	23	Low	Low	form of drug administered not known			
22634	2634	22634	95_FDAMDD_v3b	C16H24N4O4	336.3817	defined organic	complex 2H2O	tested chemical	Azapropazone dihydrate	22304-30-9	single chemical compound	parent [13539-59-8]	"5-(dimethylamino)-9-methyl-2-propyl-1H-pyrazolo[1,2-a][1,2,4]benzotriazine-1,3(2H)-dione dihydrate"	C1(C)=CC=C2C(=C1)N3N(C(N(C)C)=N2)C(=O)C(CCC)C3=O.O.O	C1(C)=CC=C2C(=C1)N3N(C(N(C)C)=N2)C(=O)C(CCC)C3=O	"InChI=1/C16H20N4O2.2H2O/c1-5-6-11-14(21)19-13-9-10(2)7-8-12(13)17-16(18(3)4)20(19)15(11)22;;/h7-9,11H,5-6H2,1-4H3;2*1H2"	LLMGYOJUHDRDFJ-UHFFFAOYAK	Clinical Reports 	Maximum Recommended Daily Dose	human	1		analgesic; anti inflammatory	30	0.0891844	1.049711106	23	Low	Low	form of drug administered not known			
22635	2635	22635	96_FDAMDD_v3b	C14H17N3O9	371.29948	defined organic	parent	tested chemical	"Azaribine,6-"	2169-64-4	single chemical compound	stereochem	"2-(2,3,5-tri-O-acetyl-beta-D-ribofuranosyl)-1,2,4-triazine-3,5(2H,4H)-dione"	CC(=O)OC[C@H]2O[C@@H](N1\N=C/C(=O)NC1=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O	CC(=O)OC[C@H]2O[C@@H](N1\N=C/C(=O)NC1=O)[C@H](OC(C)=O)[C@@H]2OC(C)=O	"InChI=1/C14H17N3O9/c1-6(18)23-5-9-11(24-7(2)19)12(25-8(3)20)13(26-9)17-14(22)16-10(21)4-15-17/h4,9,11-13H,5H2,1-3H3,(H,16,21,22)/t9-,11-,12-,13-/m1/s1/f/h16H"	QQOBRRFOVWGIMD-NPQZJABCDV	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antineoplastic; antipsoriatic	170	0.457851436	0.33927542	15	Low	Low	form of drug administered not known			
22636	2636	22636	97_FDAMDD_v3b	C20H22N2	290.40208	defined organic	parent	tested chemical	Azatadine	3964-81-6	single chemical compound		"11-(1-methylpiperidin-4-ylidene)-6,11-dihydro-5H-benzo[5,6]cyclohepta[1,2-b]pyridine"	C1=CC=C3C(=C1)C(=C2CCN(C)CC2)C4=C(CC3)C=CC=N4	C1=CC=C3C(=C1)C(=C2CCN(C)CC2)C4=C(CC3)C=CC=N4	"InChI=1/C20H22N2/c1-22-13-10-16(11-14-22)19-18-7-3-2-5-15(18)8-9-17-6-4-12-21-20(17)19/h2-7,12H,8-11,13-14H2,1H3"	SEBMTIQKRHYNIT-UHFFFAOYAF	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihistaminic	0.0333	0.000114669	3.940555489	55	High	High	form of drug administered not known			
22637	119	20119	98_FDAMDD_v3b	C9H7N7O2S	277.2626	defined organic	parent	tested chemical	Azathioprine	446-86-6	single chemical compound	tautomers	6-[(1-methyl-4-nitro-1H-imidazol-5-yl)thio]-7H-purine	[O-][N+](C(N=C3)=C(SC1=NC=NC2=C1NC=N2)N3C)=O	[O-][N+](C(N=C3)=C(SC1=NC=NC2=C1NC=N2)N3C)=O	"InChI=1/C9H7N7O2S/c1-15-4-14-7(16(17)18)9(15)19-8-5-6(11-2-10-5)12-3-13-8/h2-4H,1H3,(H,10,11,12,13)/f/h10H"	LMEKQMALGUDUQG-KZFATGLACK	Clinical Reports 	Maximum Recommended Daily Dose	human	1		immunosuppressant; antirheumatic	5	0.018033446	1.743921287	31	Moderate	Low	form of drug administered not known			
22638	2638	22638	99_FDAMDD_v3b	C22H24ClN3O	381.89846	defined organic	parent	tested chemical	Azelastine	58581-89-8	single chemical compound		4-[(4-chlorophenyl)methyl]-2-(1-methylazepan-4-yl)phthalazin-1(2H)-one	C1=CC=C4C(=C1)C(=O)N(C2CCCN(C)CC2)N=C4CC3=CC=C(Cl)C=C3	C1=CC=C4C(=C1)C(=O)N(C2CCCN(C)CC2)N=C4CC3=CC=C(Cl)C=C3	"InChI=1/C22H24ClN3O/c1-25-13-4-5-18(12-14-25)26-22(27)20-7-3-2-6-19(20)21(24-26)15-16-8-10-17(23)11-9-16/h2-3,6-11,18H,4-5,12-15H2,1H3"	MBUVEWMHONZEQD-UHFFFAOYAN	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiallergic; antiasthmatic; antihistaminic	0.133	0.00034826	3.458096266	50	High	High	form of drug administered not known			
22639	2639	22639	100_FDAMDD_v3b	C20H23N5O6S	461.49152	defined organic	parent	tested chemical	Azlocillin	37091-66-0	single chemical compound	stereochem	"(2S,5R,6R)-3,3-dimethyl-7-oxo-6-{[(2S)-2-{[(2-oxoimidazolidin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid"	O=C(O)[C@@H]3N4C(=O)[C@@H](NC(=O)[C@@H](NC(=O)N1CCNC1=O)c2ccccc2)[C@H]4SC3(C)C	O=C(O)[C@@H]3N4C(=O)[C@@H](NC(=O)[C@@H](NC(=O)N1CCNC1=O)c2ccccc2)[C@H]4SC3(C)C	"InChI=1/C20H23N5O6S/c1-20(2)13(17(28)29)25-15(27)12(16(25)32-20)22-14(26)11(10-6-4-3-5-7-10)23-19(31)24-9-8-21-18(24)30/h3-7,11-13,16H,8-9H2,1-2H3,(H,21,30)(H,22,26)(H,23,31)(H,28,29)/t11-,12+,13-,16+/m0/s1/f/h21-23,28H"	JTWOMNBEOCYFNV-HDVCKUAJDT	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antibacterial	100	0.216688705	0.664163725	19	Low	Low	form of drug administered not known			
22640	2640	22640	101_FDAMDD_v3b	C13H17N5O8S2	435.43278	defined organic	parent	tested chemical	Aztreonam	78110-38-0	single chemical compound	stereochem	"2-({[(1Z)-1-(2-amino-1,3-thiazol-4-yl)-2-{[(2S,3S)-2-methyl-4-oxo-1-sulfoazetidin-3-yl]amino}-2-oxoethylidene]amino}oxy)-2-methylpropanoic acid"	Nc1nc(cs1)\C(=N\OC(C)(C)C(O)=O)C(=O)N[C@@H]2C(=O)N([C@H]2C)S(O)(=O)=O	Nc1nc(cs1)\C(=N\OC(C)(C)C(O)=O)C(=O)N[C@@H]2C(=O)N([C@H]2C)S(O)(=O)=O	"InChI=1/C13H17N5O8S2/c1-5-7(10(20)18(5)28(23,24)25)16-9(19)8(6-4-27-12(14)15-6)17-26-13(2,3)11(21)22/h4-5,7H,1-3H3,(H2,14,15)(H,16,19)(H,21,22)(H,23,24,25)/b17-8-/t5-,7-/m0/s1/f/h16,21,23H,14H2"	WZPBZJONDBGPKJ-PSZCVDLGDL	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antibacterial	133	0.305443242	0.515069479	17	Low	Low	form of drug administered not known			
22641	2641	22641	102_FDAMDD_v3b	C10H12ClNO2	213.66078	defined organic	parent	tested chemical	Baclofen	1134-47-0	single chemical compound		4-amino-3-(4-chlorophenyl)butanoic acid	C(=O)(O)CC(C1=CC=C(Cl)C=C1)CN	C(=O)(O)CC(C1=CC=C(Cl)C=C1)CN	"InChI=1/C10H12ClNO2/c11-9-3-1-7(2-4-9)8(6-12)5-10(13)14/h1-4,8H,5-6,12H2,(H,13,14)/f/h13H"	KPYSYYIEGFHWSV-NDKGDYFDCG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		skeletal muscle relaxant	1.33	0.00622482	2.205873169	36	Moderate	High	form of drug administered not known			
22642	2642	22642	103_FDAMDD_v3b	C20H27N5O3	385.46008	defined organic	parent	tested chemical	Bamifylline	2016-63-9	single chemical compound		"7-{2-[ethyl(2-hydroxyethyl)amino]ethyl}-1,3-dimethyl-8-(phenylmethyl)-3,7-dihydro-1H-purine-2,6-dione"	N1(C)C(=O)N(C)C2=C(C1=O)N(CCN(CCO)CC)C(CC3=CC=CC=C3)=N2	N1(C)C(=O)N(C)C2=C(C1=O)N(CCN(CCO)CC)C(CC3=CC=CC=C3)=N2	"InChI=1/C20H27N5O3/c1-4-24(12-13-26)10-11-25-16(14-15-8-6-5-7-9-15)21-18-17(25)19(27)23(3)20(28)22(18)2/h5-9,26H,4,10-14H2,1-3H3"	VVUYEFBRTFASAH-UHFFFAOYAJ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		bronchodilator	30	0.077829071	1.108858152	24	Low	Low	form of drug administered not known			
22643	2643	22643	104_FDAMDD_v3b	C8H12N2O3	184.19248	defined organic	parent	tested chemical	Barbital	57-44-3	single chemical compound		"5,5-diethylpyrimidine-2,4,6(1H,3H,5H)-trione"	C1(=O)C(CC)(CC)C(=O)NC(=O)N1	C1(=O)C(CC)(CC)C(=O)NC(=O)N1	"InChI=1/C8H12N2O3/c1-3-8(4-2)5(11)9-7(13)10-6(8)12/h3-4H2,1-2H3,(H2,9,10,11,12,13)/f/h9-10H"	FTOAOBMCPZCFFF-XMBMESGPCA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		sedative; hypnotic	10	0.054291033	1.265271895	25	Low-Moderate	Low	form of drug administered not known			
22644	2644	22644	105_FDAMDD_v3b	C20H25NO3	327.4174	defined organic	parent	tested chemical	Benactyzine	302-40-9	single chemical compound		2-(diethylamino)ethyl hydroxy(diphenyl)acetate	OC(C(=O)OCCN(CC)CC)(C1=CC=CC=C1)C2=CC=CC=C2	OC(C(=O)OCCN(CC)CC)(C1=CC=CC=C1)C2=CC=CC=C2	"InChI=1/C20H25NO3/c1-3-21(4-2)15-16-24-19(22)20(23,17-11-7-5-8-12-17)18-13-9-6-10-14-18/h5-14,23H,3-4,15-16H2,1-2H3"	IVQOFBKHQCTVQV-UHFFFAOYAA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antidepressant; anticholinergic	0.15	0.000458131	3.339010496	49	High-Moderate	High	form of drug administered not known			
22645	2645	22645	106_FDAMDD_v3b	C24H28N2O5	424.48952	defined organic	parent	tested chemical	Benazepril	86541-75-5	single chemical compound	stereochem	"[(3S)-3-({(1S)-1-[(ethyloxy)carbonyl]-3-phenylpropyl}amino)-2-oxo-2,3,4,5-tetrahydro-1H-1-benzazepin-1-yl]acetic acid"	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]3CCc2ccccc2N(CC(O)=O)C3=O	CCOC(=O)[C@H](CCc1ccccc1)N[C@H]3CCc2ccccc2N(CC(O)=O)C3=O	"InChI=1/C24H28N2O5/c1-2-31-24(30)20(14-12-17-8-4-3-5-9-17)25-19-15-13-18-10-6-7-11-21(18)26(23(19)29)16-22(27)28/h3-11,19-20,25H,2,12-16H2,1H3,(H,27,28)/t19-,20-/m0/s1/f/h27H"	XPCFTKFZXHTYIP-CSVALHDMDG	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihypertensive; ACE inhibitor	1.33	0.003133175	2.504015332	39	Moderate	High	form of drug administered not known			
22646	2646	22646	107_FDAMDD_v3b	C19H31NO	289.45554	defined organic	parent	tested chemical	Bencyclane	2179-37-5	single chemical compound		"N,N-dimethyl-3-{[1-(phenylmethyl)cycloheptyl]oxy}propan-1-amine"	C2CCCCCC2(CC1=CC=CC=C1)OCCCN(C)C	C2CCCCCC2(CC1=CC=CC=C1)OCCCN(C)C	"InChI=1/C19H31NO/c1-20(2)15-10-16-21-19(13-8-3-4-9-14-19)17-18-11-6-5-7-12-18/h5-7,11-12H,3-4,8-10,13-17H2,1-2H3"	FYJJXENSONZJRG-UHFFFAOYAM	Clinical Reports 	Maximum Recommended Daily Dose	human	1		vasodilator	10	0.03454762	1.461581866	28	Low-Moderate	Low	form of drug administered not known			
22647	2647	22647	108_FDAMDD_v3b	C15H14F3N3O4S2	421.4145696	defined organic	parent	tested chemical	Bendroflumethiazide	73-48-3	single chemical compound		"3-(phenylmethyl)-6-(trifluoromethyl)-3,4-dihydro-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide"	C1(S(N)(=O)=O)=C(C(F)(F)F)C=C3C(=C1)S(=O)(=O)NC(CC2=CC=CC=C2)N3	C1(S(N)(=O)=O)=C(C(F)(F)F)C=C3C(=C1)S(=O)(=O)NC(CC2=CC=CC=C2)N3	"InChI=1/C15H14F3N3O4S2/c16-15(17,18)10-7-11-13(8-12(10)26(19,22)23)27(24,25)21-14(20-11)6-9-4-2-1-3-5-9/h1-5,7-8,14,20-21H,6H2,(H2,19,22,23)/f/h19H2"	HDWIHXWEUNVBIY-SDRQFZCRCV	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diuretic; antihypertensive	0.333	0.000790196	3.102265313	46	High-Moderate	High	form of drug administered not known			
22648	2648	22648	109_FDAMDD_v3b	C28H31N3O6	505.56224	defined organic	parent	tested chemical	Benidipene	105979-17-7	single chemical compound	stereochem; ammonium	"methyl (3R)-1-(phenylmethyl)piperidin-3-yl (4R)-2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate"	[O-][N+](=O)c1cccc(c1)[C@@H]/2C(\C(=O)OC)=C(\C)NC(\C)=C\2C(=O)O[C@@H]4CCCN(Cc3ccccc3)C4	[O-][N+](=O)c1cccc(c1)[C@@H]/2C(\C(=O)OC)=C(\C)NC(\C)=C\2C(=O)O[C@@H]4CCCN(Cc3ccccc3)C4	"InChI=1/C28H31N3O6/c1-18-24(27(32)36-3)26(21-11-7-12-22(15-21)31(34)35)25(19(2)29-18)28(33)37-23-13-8-14-30(17-23)16-20-9-5-4-6-10-20/h4-7,9-12,15,23,26,29H,8,13-14,16-17H2,1-3H3/t23-,26-/m1/s1"	QZVNQOLPLYWLHQ-ZEQKJWHPBC	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antihypertensive; Ca channel blocker	0.133	0.000263073	3.579922988	51	High	High	form of drug administered not known			
22649	2649	22649	110_FDAMDD_v3b	C17H15NO5	313.3047	defined organic	parent	tested chemical	Benorylate	5003-48-5	single chemical compound		4-(acetylamino)phenyl 2-(acetyloxy)benzoate	C2(OC(C)=O)=CC=CC=C2C(=O)OC1=CC=C(NC(C)=O)C=C1	C2(OC(C)=O)=CC=CC=C2C(=O)OC1=CC=C(NC(C)=O)C=C1	"InChI=1/C17H15NO5/c1-11(19)18-13-7-9-14(10-8-13)23-17(21)15-5-3-4-6-16(15)22-12(2)20/h3-10H,1-2H3,(H,18,19)/f/h18H"	FEJKLNWAOXSSNR-GPQMBLKYCD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		analgesic; antipyretic; anti inflammatory	133	0.424506878	0.372115269	15	Low	Low	form of drug administered not known			
22650	2650	22650	111_FDAMDD_v3b	C16H12ClNO3	301.72438	defined organic	parent	tested chemical	Benoxaprofen	51234-28-7	single chemical compound	retired CASRN [67434-14-4]	"2-[2-(4-chlorophenyl)-1,3-benzoxazol-5-yl]propanoic acid"	C1=C(C(C)C(O)=O)C=C3C(=C1)OC(C2=CC=C(Cl)C=C2)=N3	C1=C(C(C)C(O)=O)C=C3C(=C1)OC(C2=CC=C(Cl)C=C2)=N3	"InChI=1/C16H12ClNO3/c1-9(16(19)20)11-4-7-14-13(8-11)18-15(21-14)10-2-5-12(17)6-3-10/h2-9H,1H3,(H,19,20)/f/h19H"	MITFXPHMIHQXPI-LILDFLRNCM	Clinical Reports 	Maximum Recommended Daily Dose	human	1		analgesic; anti inflammatory	10	0.033142831	1.479610404	28	Low-Moderate	Low	form of drug administered not known			
22651	2651	22651	112_FDAMDD_v3b	C10H15N3O5	257.2432	defined organic	parent	tested chemical	Benserazide	322-35-0	single chemical compound		"2-amino-3-hydroxy-N'-(2,3,4-trihydroxybenzyl)propanohydrazide"	C1(O)=C(O)C=CC(CNNC(=O)C(N)CO)=C1O	C1(O)=C(O)C=CC(CNNC(=O)C(N)CO)=C1O	"InChI=1/C10H15N3O5/c11-6(4-14)10(18)13-12-3-5-1-2-7(15)9(17)8(5)16/h1-2,6,12,14-17H,3-4,11H2,(H,13,18)/f/h13H"	BNQDCRGUHNALGH-NDKGDYFDCE	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antiparkinsonian	3.33	0.012944949	1.88789967	32	Moderate	Moderate	form of drug administered not known			
22652	2652	22652	113_FDAMDD_v3b	C17H12Br2O3	424.08338	defined organic	parent	tested chemical	Benzbromarone	3562-84-3	single chemical compound		"(3,5-dibromo-4-hydroxyphenyl)(2-ethyl-1-benzofuran-3-yl)methanone"	C1=CC=C3C(=C1)OC(CC)=C3C(=O)C2=CC(Br)=C(O)C(Br)=C2	C1=CC=C3C(=C1)OC(CC)=C3C(=O)C2=CC(Br)=C(O)C(Br)=C2	"InChI=1/C17H12Br2O3/c1-2-13-15(10-5-3-4-6-14(10)22-13)16(20)9-7-11(18)17(21)12(19)8-9/h3-8,21H,2H2,1H3"	WHQCHUCQKNIQEC-UHFFFAOYAA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		uricosuric	5	0.011790134	1.928481248	33	Moderate	Low	form of drug administered not known			
22653	1804	21804	114_FDAMDD_v3b	C9H11NO2	165.1914	defined organic	parent	tested chemical	Benzocaine	94-09-7	single chemical compound		ethyl 4-aminobenzoate	C1=CC(N)=CC=C1C(=O)OCC	C1=CC(N)=CC=C1C(=O)OCC	"InChI=1/C9H11NO2/c1-2-12-9(11)7-3-5-8(10)6-4-7/h3-6H,2,10H2,1H3"	BLFLLBZGZJTVJG-UHFFFAOYAZ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		topical anesthetic	1.2	0.007264301	2.138806188	35	Moderate	High	form of drug administered not known			
22654	2654	22654	115_FDAMDD_v3b	C18H19N	249.35016	defined organic	parent	tested chemical	Benzoctamine	17243-39-9	single chemical compound		"1-(9,10-ethanoanthracen-9(10H)-yl)-N-methylmethanamine"	C1=CC=C2C(=C1)C3(CNC)C4=C(C2CC3)C=CC=C4	C1=CC=C2C(=C1)C3(CNC)C4=C(C2CC3)C=CC=C4	"InChI=1/C18H19N/c1-19-12-18-11-10-13(14-6-2-4-8-16(14)18)15-7-3-5-9-17(15)18/h2-9,13,19H,10-12H2,1H3"	GNRXCIONJWKSEA-UHFFFAOYAC	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anxiolytic; skeletal muscle relaxant	1	0.004010425	2.396809651	38	Moderate	High	form of drug administered not known			
22655	2655	22655	116_FDAMDD_v3b	C30H53NO11	603.74192	defined organic	parent	tested chemical	Benzonatate	104-31-4	single chemical compound		"3,6,9,12,15,18,21,24,27-nonaoxaoctacos-1-yl 4-(butylamino)benzoate"	C1(NCCCC)=CC=C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1	C1(NCCCC)=CC=C(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)C=C1	"InChI=1/C30H53NO11/c1-3-4-9-31-29-7-5-28(6-8-29)30(32)42-27-26-41-25-24-40-23-22-39-21-20-38-19-18-37-17-16-36-15-14-35-13-12-34-11-10-33-2/h5-8,31H,3-4,9-27H2,1-2H3"	MAFMQEKGGFWBAB-UHFFFAOYAD	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antitussive	10	0.016563369	1.780851332	31	Moderate	Low	form of drug administered not known			
22656	2656	22656	117_FDAMDD_v3b	C17H21N	239.35534	defined organic	parent	tested chemical	Benzphetamine	156-08-1	single chemical compound	stereochem	(2S)-N-benzyl-N-methyl-1-phenylpropan-2-amine	C[C@H](N(C)CC2=CC=CC=C2)CC1=CC=CC=C1	C[C@H](N(C)CC2=CC=CC=C2)CC1=CC=CC=C1	"InChI=1/C17H21N/c1-15(13-16-9-5-3-6-10-16)18(2)14-17-11-7-4-8-12-17/h3-12,15H,13-14H2,1-2H3/t15-/m0/s1"	YXKTVDFXDRQTKV-HNNXBMFYBE	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anorexic	2.5	0.010444722	1.981103112	33	Moderate	High-Moderate	form of drug administered not known; structure modified v3b			
22657	2657	22657	118_FDAMDD_v3b	C22H32N2O5	404.49988	defined organic	parent	tested chemical	Benzquinamide	63-12-7	single chemical compound		"3-[(diethylamino)carbonyl]-9,10-bis(methyloxy)-1,3,4,6,7,11b-hexahydro-2H-pyrido[2,1-a]isoquinolin-2-yl acetate"	C1(OC)=C(OC)C=C2C(=C1)C3N(CC2)CC(C(=O)N(CC)CC)C(OC(C)=O)C3	C1(OC)=C(OC)C=C2C(=C1)C3N(CC2)CC(C(=O)N(CC)CC)C(OC(C)=O)C3	"InChI=1/C22H32N2O5/c1-6-23(7-2)22(26)17-13-24-9-8-15-10-20(27-4)21(28-5)11-16(15)18(24)12-19(17)29-14(3)25/h10-11,17-19H,6-9,12-13H2,1-5H3"	JSZILQVIPPROJI-UHFFFAOYAT	Clinical Reports 	Maximum Recommended Daily Dose	human	1		antipsychotic; antiemeic	0.417	0.001030903	2.986782342	45	High-Moderate	High	form of drug administered not known			
22658	2658	22658	119_FDAMDD_v3b	C15H14ClN3O4S3	431.93736	defined organic	parent	tested chemical	Benzthiazide	91-33-8	single chemical compound		"6-chloro-3-{[(phenylmethyl)thio]methyl}-2H-1,2,4-benzothiadiazine-7-sulfonamide 1,1-dioxide"	C1(S(N)(=O)=O)=C(Cl)C=C3C(=C1)S(=O)(=O)NC(CSCC2=CC=CC=C2)=N3	C1(S(N)(=O)=O)=C(Cl)C=C3C(=C1)S(=O)(=O)NC(CSCC2=CC=CC=C2)=N3	"InChI=1/C15H14ClN3O4S3/c16-11-6-12-14(7-13(11)25(17,20)21)26(22,23)19-15(18-12)9-24-8-10-4-2-1-3-5-10/h1-7H,8-9H2,(H,18,19)(H2,17,20,21)/f/h19H,17H2"	NDTSRXAMMQDVSW-HWHDIUAICZ	Clinical Reports 	Maximum Recommended Daily Dose	human	1		diuretic; antihypertensive	3.33	0.007709451	2.112976536	35	Moderate	Moderate	form of drug administered not known			
22659	2659	22659	120_FDAMDD_v3b	C21H25NO	307.4293	defined organic	parent	tested chemical	Benztropine	86-13-5	single chemical compound	stereochem	(3-endo)-3-[(diphenylmethyl)oxy]-8-methyl-8-azabicyclo[3.2.1]octane	CN1[C@H]2C[C@@H](OC(C4=CC=CC=C4)C3=CC=CC=C3)C[C@H]1CC2	CN1[C@H]2C[C@@H](OC(C4=CC=CC=C4)C3=CC=CC=C3)C[C@H]1CC2	"InChI=1/C21H25NO/c1-22-18-12-13-19(22)15-20(14-18)23-21(16-8-4-2-5-9-16)17-10-6-3-7-11-17/h2-11,18-21H,12-15H2,1H3/t18-,19-/m1/s1"	GIJXKZJWITVLHI-RTBURBONBA	Clinical Reports 	Maximum Recommended Daily Dose	human	1		anticholinergic	0.1	0.000325278	3.487745256	50	High	High	form of drug administered not known			
